Approved Symbol	Phenotypes
RNASEH1	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 2, Autosomal recessive
RPS7	Diamond-Blackfan anemia 8, Autosomal dominant
COLEC11	3MC syndrome 2, Autosomal recessive
SOX11	Mental retardation, autosomal dominant, 27, Autosomal dominant
DFNB47	Deafness, neurosensory, autosomal recessive 47, Autosomal recessive
KIDINS220	Spastic paraplegia, intellectual disability, nystagmus, and obesity, Autosomal dominant
KLF11	Maturity-onset diabetes of the young, type VII
LPIN1	Myoglobinuria, acute recurrent, autosomal recessive, Autosomal recessive
NBAS	Infantile liver failure syndrome 2, Autosomal recessive;Short stature, optic nerve atrophy, and Pelger-Huet anomaly, Autosomal recessive
MYCN	Feingold syndrome 1, Autosomal dominant
WDR35	Cranioectodermal dysplasia 2, Autosomal recessive;Short-rib thoracic dysplasia 7 with or without polydactyly, Autosomal recessive
MATN3	Epiphyseal dysplasia, multiple, 5, Autosomal dominant;Spondyloepimetaphyseal dysplasia, Autosomal recessive
APOB	Hypercholesterolemia, due to ligand-defective apo B, Autosomal dominant;Hypobetalipoproteinemia, Autosomal recessive
GINGF3	Fibromatosis, gingival, 3
POMC	Obesity, adrenal insufficiency, and red hair due to POMC deficiency
DNMT3A	Tatton-Brown-Rahman syndrome, Autosomal dominant
ASXL2	Shashi-Pena syndrome, Autosomal dominant
HADHA	Fatty liver, acute, of pregnancy, Autosomal recessive;HELLP syndrome, maternal, of pregnancy, Autosomal recessive;LCHAD deficiency, Autosomal recessive;Trifunctional protein deficiency, Autosomal recessive
HADHB	Trifunctional protein deficiency, Autosomal recessive
DRC1	Ciliary dyskinesia, primary, 21, Autosomal recessive
OTOF	Auditory neuropathy, autosomal recessive, 1, Autosomal recessive;Deafness, autosomal recessive 9, Autosomal recessive
KCNK3	Pulmonary hypertension, primary, 4, Autosomal dominant
AGBL5	Retinitis pigmentosa 75, Autosomal recessive
CAD	Epileptic encephalopathy, early infantile, 50, Autosomal recessive
MPV17	Mitochondrial DNA depletion syndrome 6 (hepatocerebral type), Autosomal recessive
EIF2B4	Leukoencephaly with vanishing white matter, Autosomal recessive;Ovarioleukodystrophy, Autosomal recessive
IFT172	Retinitis pigmentosa 71, Autosomal recessive;Short-rib thoracic dysplasia 10 with or without polydactyly, Autosomal recessive
C2orf71	Retinitis pigmentosa 54
XDH	Xanthinuria, type I, Autosomal recessive
SRD5A2	Pseudovaginal perineoscrotal hypospadias, Autosomal recessive
SPAST	Spastic paraplegia 4, autosomal dominant, Autosomal dominant
NLRC4	Autoinflammation with infantile enterocolitis, Autosomal dominant
CYP1B1	Anterior segment dysgenesis 6, multiple subtypes;Glaucoma 3A, primary open angle, congenital, juvenile, or adult onset, Autosomal recessive
SOS1	Noonan syndrome 4, Autosomal dominant
DFNA58	Deafness, autosomal dominant 58, Autosomal dominant
SCA25	Spinocerebellar ataxia 25, Autosomal dominant
DYNC2LI1	Short-rib throacic dysplasia 15 with polydactyly, Autosomal recessive
ABCG5	Sitosterolemia, Autosomal recessive
ABCG8	Sitosterolemia, Autosomal recessive
LRPPRC	Leigh syndrome, French-Canadian type, Autosomal recessive
SLC3A1	Cystinuria, Autosomal recessive, Autosomal dominant
SIX3	Holoprosencephaly 2, Autosomal dominant, Isolated cases;Schizencephaly
EPAS1	Erythrocytosis, familial, 4
CRIPT	Short stature with microcephaly and distinctive facies, Autosomal recessive
MCFD2	Factor V and factor VIII, combined deficiency of
TTC7A	Gastrointestinal defects and immunodeficiency syndrome, Autosomal recessive
CALM2	Long QT syndrome 15, Autosomal dominant
EPCAM	Colorectal cancer, hereditary nonpolyposis, type 8;Diarrhea 5, with tufting enteropathy, congenital, Autosomal recessive
MSH2	Colorectal cancer, hereditary nonpolyposis, type 1, Autosomal dominant;Mismatch repair cancer syndrome, Autosomal recessive;Muir-Torre syndrome, Autosomal dominant
CNC2	Carney complex, type II
GLC1H	Glaucoma 1, open angle, H
MSH6	Colorectal cancer, hereditary nonpolyposis, type 5, Autosomal dominant;Endometrial cancer, familial;Mismatch repair cancer syndrome, Autosomal recessive
LHCGR	Leydig cell adenoma, somatic, with precocious puberty;Leydig cell hypoplasia with hypergonadotropic hypogonadism, Autosomal recessive;Leydig cell hypoplasia with pseudohermaphroditism, Autosomal recessive;Luteinizing hormone resistance, female, Autosomal recessive;Precocious puberty, male, Autosomal dominant
FSHR	Ovarian dysgenesis 1, Autosomal recessive;Ovarian hyperstimulation syndrome, Autosomal dominant;Ovarian response to FSH stimulation, Autosomal recessive
NRXN1	Pitt-Hopkins-like syndrome 2, Autosomal recessive
CCDC88A	PEHO syndrome, Autosomal recessive
PNPT1	Combined oxidative phosphorylation deficiency 13, Autosomal recessive;Deafness, autosomal recessive 70, Autosomal recessive
EFEMP1	Doyne honeycomb degeneration of retina, Autosomal dominant
FANCL	Fanconi anemia, complementation group L, Autosomal recessive
BCL11A	Dias-Logan syndrome, Autosomal dominant
PEX13	Peroxisome biogenesis disorder 11A (Zellweger), Autosomal recessive;Peroxisome biogenesis disorder 11B, Autosomal recessive
FAM161A	Retinitis pigmentosa 28
SLC1A4	Spastic tetraplegia, thin corpus callosum, and progressive microcephaly, Autosomal recessive
OFC2	Orofacial cleft-2
PEE1	Preeclampsia/eclampsia 1, Autosomal dominant
ANTXR1	GAPO syndrome, Autosomal recessive
GFPT1	Myasthenia, congenital, 12, with tubular aggregates, Autosomal recessive
NFU1	Multiple mitochondrial dysfunctions syndrome 1, Autosomal recessive
TIA1	Welander distal myopathy, Autosomal recessive, Autosomal dominant
FIGLA	Premature ovarian failure 6
ATP6V1B1	Renal tubular acidosis with deafness, Autosomal recessive
MCEE	Methylmalonyl-CoA epimerase deficiency, Autosomal recessive
DYSF	Miyoshi muscular dystrophy 1, Autosomal recessive;Muscular dystrophy, limb-girdle, type 2B, Autosomal recessive;Myopathy, distal, with anterior tibial onset, Autosomal recessive
CYP26B1	Craniosynostosis with radiohumeral fusions and other skeletal and craniofacial anomalies
SPR	Dystonia, dopa-responsive, due to sepiapterin reductase deficiency, ?Autosomal dominant, Autosomal recessive
ALMS1	Alstrom syndrome, Autosomal recessive
STAMBP	Microcephaly-capillary malformation syndrome, Autosomal recessive
ACTG2	Visceral myopathy, Autosomal dominant
DGUOK	Mitochondrial DNA depletion syndrome 3 (hepatocerebral type), Autosomal recessive;Portal hypertension, noncirrhotic, Autosomal recessive;Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 4, Autosomal recessive
BOLA3	Multiple mitochondrial dysfunctions syndrome 2 with hyperglycinemia, Autosomal recessive
DCTN1	Neuropathy, distal hereditary motor, type VIIB, Autosomal dominant;Perry syndrome, Autosomal dominant
MOGS	Congenital disorder of glycosylation, type IIb, Autosomal recessive
HTRA2	3-methylglutaconic aciduria, type VIII, Autosomal recessive
DFNA43	Deafness, autosomal dominant 43, Autosomal dominant
SUCLG1	Mitochondrial DNA depletion syndrome 9 (encephalomyopathic type with methylmalonic aciduria), Autosomal recessive
GGCX	Pseudoxanthoma elasticum-like disorder with multiple coagulation factor deficiency;Vitamin K-dependent clotting factors, combined deficiency of, 1, Autosomal recessive
SFTPB	Surfactant metabolism dysfunction, pulmonary, 1, Autosomal recessive
ST3GAL5	Salt and pepper developmental regression syndrome, Autosomal recessive
POLR1A	Acrofacial dysostosis, Cincinnati type, Autosomal dominant
REEP1	Spastic paraplegia 31, autosomal dominant, Autosomal dominant
CD8A	CD8 deficiency, familial, Autosomal recessive
EIF2AK3	Wolcott-Rallison syndrome, Autosomal recessive
IGKC	Kappa light chain deficiency, Autosomal recessive
GLC1B	Glaucoma 1B, primary open angle, adult onset
ADRA2B	Epilepsy, myoclonic, familial adult, 2, Autosomal dominant
SNRNP200	Retinitis pigmentosa 33, Autosomal dominant
CNNM4	Jalili syndrome, Autosomal recessive
ZAP70	Autoimmune disease, multisystem, infantile-onset, 2, Autosomal recessive;Immunodeficiency 48, Autosomal recessive
CNGA3	Achromatopsia 2, Autosomal recessive
LIPT1	Lipoyltransferase 1 deficiency, Autosomal recessive
SLC5A7	Myasthenic syndrome, congenital, 20, presynaptic, Autosomal recessive;Neuronopathy, distal hereditary motor, type VIIA, Autosomal dominant
EDAR	Ectodermal dysplasia 10A, hypohidrotic/hair/nail type, autosomal dominant, Autosomal dominant;Ectodermal dysplasia 10B, hypohidrotic/hair/tooth type, autosomal recessive, Autosomal recessive
NPHP1	Joubert syndrome 4, Autosomal recessive;Nephronophthisis 1, juvenile, Autosomal recessive;Senior-Loken syndrome-1, Autosomal recessive
BUB1	Colorectal cancer with chromosomal instability, somatic (3)
MERTK	Retinitis pigmentosa 38, Autosomal recessive
CMD1H	Cardiomyopathy, dilated, 1H
CKAP2L	Filippi syndrome, Autosomal recessive
IL36RN	Psoriasis 14, pustular, Autosomal recessive
IL1RN	Interleukin 1 receptor antagonist deficiency, Autosomal recessive
PAX8	Hypothyroidism, congenital, due to thyroid dysgenesis or hypoplasia, Autosomal dominant
GLI2	Culler-Jones syndrome, Autosomal dominant;Holoprosencephaly 9, Autosomal dominant
RNU4ATAC	Microcephalic osteodysplastic primordial dwarfism, type I, Autosomal recessive;Roifman syndrome, Autosomal recessive
DYT21	Dystonia 21, Autosomal dominant
BIN1	Myopathy, centronuclear, autosomal recessive, Autosomal recessive
ERCC3	Trichothiodystrophy 2, photosensitive, Autosomal recessive;Xeroderma pigmentosum, group B, Autosomal recessive
PROC	Thrombophilia due to protein C deficiency, autosomal dominant, Autosomal dominant;Thrombophilia due to protein C deficiency, autosomal recessive, Autosomal recessive
LIMS2	Muscular dystrophy, limb-girdle, type 2W, Autosomal recessive
CCDC115	Congenital disorder of glycosylation, type IIo, Autosomal recessive
CFC1	Heterotaxy, visceral, 2, autosomal, Autosomal dominant
RAB3GAP1	Warburg micro syndrome 1, Autosomal recessive
LCT	Lactase deficiency, congenital, Autosomal recessive
MCM6	Lactase persistence/nonpersistence, Autosomal dominant
DARS	Hypomyelination with brainstem and spinal cord involvement and leg spasticity, Autosomal recessive
CXCR4	Myelokathexis, isolated (3);WHIM syndrome, Autosomal dominant
HNMT	Mental retardation, autosomal recessive 51, Autosomal recessive
ZEB2	Mowat-Wilson syndrome, Autosomal dominant
DFNA16	Deafness, autosomal dominant 16, Autosomal dominant
DFNB27	Deafness, autosomal recessive 27, Autosomal recessive
ORC4	Meier-Gorlin syndrome 2, Autosomal recessive
MBD5	Mental retardation, autosomal dominant 1, Autosomal dominant
KIF5C	Cortical dysplasia, complex, with other brain malformations 2, Autosomal dominant
MMADHC	Homocystinuria, cblD type, variant 1, Autosomal recessive;Methylmalonic aciduria and homocystinuria, cblD type, Autosomal recessive;Methylmalonic aciduria, cblD type, variant 2, Autosomal recessive
NEB	Nemaline myopathy 2, autosomal recessive, Autosomal recessive
CACNB4	Episodic ataxia, type 5, Autosomal dominant
ACVR1	Fibrodysplasia ossificans progressiva, Autosomal dominant
ITGB6	Amelogenesis imperfecta, type IH, Autosomal recessive
IFIH1	Aicardi-Goutieres syndrome 7, Autosomal dominant;Singleton-Merten syndrome 1, Autosomal dominant
SCN2A	Epileptic encephalopathy, early infantile, 11, Autosomal dominant;Seizures, benign familial infantile, 3, Autosomal dominant
GALNT3	Tumoral calcinosis, hyperphosphatemic, familial, Autosomal recessive
TTC21B	Nephronophthisis 12, Autosomal recessive, Autosomal dominant;Short-rib thoracic dysplasia 4 with or without polydactyly, Autosomal recessive
SCN1A	Epilepsy, generalized, with febrile seizures plus, type 2, Autosomal dominant;Epileptic encephalopathy, early infantile, 6, Autosomal dominant;Febrile seizures, familial, 3A, Autosomal dominant;Migraine, familial hemiplegic, 3, Autosomal dominant
SCN9A	Epilepsy, generalized, with febrile seizures plus, type 7, Autosomal dominant;Erythermalgia, primary, Autosomal dominant;Febrile seizures, familial, 3B, Autosomal dominant;HSAN2D, autosomal recessive, Autosomal recessive;Insensitivity to pain, congenital, Autosomal recessive;Paroxysmal extreme pain disorder,, Autosomal dominant;Small fiber neuropathy, Autosomal dominant
SHFM5	Split-hand/foot malformation 5
ABCB11	Cholestasis, benign recurrent intrahepatic, 2, Autosomal recessive;Cholestasis, progressive familial intrahepatic 2, Autosomal recessive
LRP2	Donnai-Barrow syndrome, Autosomal recessive
BBS5	Bardet-Biedl syndrome 5, Autosomal recessive
KLHL41	Nemaline myopathy 9, Autosomal recessive
DCAF17	Woodhouse-Sakati syndrome, Autosomal recessive
SLC25A12	Epileptic encephalopathy, early infantile, 39, Autosomal recessive
ITGA6	Epidermolysis bullosa, junctional, with pyloric stenosis, Autosomal recessive
MAP3K20	Split-foot malformation with mesoaxial polydactyly, Autosomal recessive
CDCA7	Immunodeficiency-centromeric instability-facial anomalies syndrome 3
CHRNA1	Multiple pterygium syndrome, lethal type, Autosomal recessive;Myasthenic syndrome, congenital, 1A, slow-channel, Autosomal dominant;Myasthenic syndrome, congenital, 1B, fast-channel, Autosomal recessive, Autosomal dominant
CHN1	Duane retraction syndrome 2
HOXD13	Brachydactyly, type D, Autosomal dominant;Brachydactyly, type E, Autosomal dominant;Syndactyly, type V, Autosomal dominant;Synpolydactyly 1, Autosomal dominant
HOXD10	Charcot-Marie-Tooth disease, foot deformity of, Autosomal dominant;Vertical talus, congenital, Autosomal dominant
AGPS	Rhizomelic chondrodysplasia punctata, type 3, Autosomal recessive
PDE11A	Pigmented nodular adrenocortical disease, primary, 2, Autosomal dominant
PRKRA	Dystonia 16, Autosomal recessive
DFNB59	Deafness, autosomal recessive 59, Autosomal recessive
TTN	Cardiomyopathy, dilated, 1G;Cardiomyopathy, familial hypertrophic, 9;Muscular dystrophy, limb-girdle, type 2J, Autosomal recessive;Myopathy, early-onset, with fatal cardiomyopathy, Autosomal recessive;Myopathy, proximal, with early respiratory muscle involvement;Tibial muscular dystrophy, tardive, Autosomal dominant
CERKL	Retinitis pigmentosa 26
NEUROD1	Maturity-onset diabetes of the young 6
ARVD4	Arrhythmogenic right ventricular dysplasia 4, Autosomal dominant
COL3A1	Ehlers-Danlos syndrome, type IV, Autosomal dominant
COL5A2	Ehlers-Danlos syndrome, classic type, Autosomal dominant
SLC40A1	Hemochromatosis, type 4, Autosomal dominant
MSTN	Muscle hypertrophy
HIBCH	3-hydroxyisobutryl-CoA hydrolase deficiency, Autosomal recessive
STAT1	Immunodeficiency 31A, mycobacteriosis, autosomal dominant, Autosomal dominant;Immunodeficiency 31B, mycobacterial and viral infections, autosomal recessive, Autosomal recessive;Immunodeficiency 31C, autosomal dominant, Autosomal dominant
HECW2	Neurodevelopmental disorder with hypotonia, seizures, and absent language, Autosomal dominant
PGAP1	Mental retardation, autosomal recessive 42, Autosomal recessive
SF3B1	Myelodysplastic syndrome, somatic
HSPD1	Leukodystrophy, hypomyelinating, 4, Autosomal recessive;Spastic paraplegia 13, autosomal dominant, Autosomal dominant
MARS2	Spastic ataxia 3, autosomal recessive, Autosomal recessive
SATB2	Glass syndrome, Autosomal dominant
NDUFB3	Mitochondrial complex I deficiency, Autosomal recessive, X-linked dominant, Mitochondrial
CASP10	Autoimmune lymphoproliferative syndrome, type II, Autosomal dominant;Gastric cancer, somatic;Lymphoma, non-Hodgkin, somatic
CASP8	Hepatocellular carcinoma, somatic
TMEM237	Joubert syndrome 14, Autosomal recessive
ALS2	Amyotrophic lateral sclerosis 2, juvenile, Autosomal recessive;Primary lateral sclerosis, juvenile, Autosomal recessive;Spastic paralysis, infantile onset ascending, Autosomal recessive
SUMO1	Orofacial cleft 10
BMPR2	Pulmonary hypertension, familial primary, 1, with or without HHT, Autosomal dominant;Pulmonary hypertension, primary, fenfluramine or dexfenfluramine-associated, Autosomal dominant;Pulmonary venoocclusive disease 1, Autosomal dominant
CTLA4	Autoimmune lymphoproliferative syndrome, type V, Autosomal dominant
ICOS	Immunodeficiency, common variable, 1, Autosomal recessive
NDUFS1	Mitochondrial complex I deficiency, Autosomal recessive, X-linked dominant, Mitochondrial
CREB1	Histiocytoma, angiomatoid fibrous, somatic
CRYGD	Cataract 4, multiple types, Autosomal dominant
CRYGC	Cataract 2, multiple types, Autosomal dominant
CRYGB	Cataract 39, multiple types, autosomal dominant, Autosomal dominant
TCL4	Leukemia/lymphoma, T-cell
PIKFYVE	Corneal fleck dystrophy, Autosomal dominant
UNC80	Hypotonia, infantile, with psychomotor retardation and characteristic facies 2, Autosomal recessive
CPS1	Carbamoylphosphate synthetase I deficiency, Autosomal recessive
ERBB4	Amyotrophic lateral sclerosis 19, Autosomal dominant
ABCA12	Ichthyosis, congenital, autosomal recessive 4A, Autosomal recessive;Ichthyosis, congenital, autosomal recessive 4B (harlequin), Autosomal recessive
ATIC	AICA-ribosiduria due to ATIC deficiency, Autosomal recessive
FN1	Glomerulopathy with fibronectin deposits 2, Autosomal dominant;Plasma fibronectin deficiency, Autosomal dominant
SMARCAL1	Schimke immunoosseous dysplasia, Autosomal recessive
PNKD	Paroxysmal nonkinesigenic dyskinesia, Autosomal dominant
VIL1	Cholestasis, progressive canalicular (1)
BCS1L	Bjornstad syndrome, Autosomal recessive;GRACILE syndrome;Leigh syndrome, Autosomal recessive, Mitochondrial;Mitochondrial complex III deficiency, nuclear type 1, Autosomal recessive
